City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Provideniya,64.3833,-173.3,-0.18,90,100,29.48,RU,1613180513
Khatanga,71.9667,102.5,-26.37,86,100,8.12,RU,1613180513
Mehamn,71.0357,27.8492,16.05,95,53,6.76,NO,1613180514
Mugur-Aksy,50.35,90.5,-8.63,78,2,4.88,RU,1613180514
Aksarka,66.5606,67.7975,-23.39,86,100,4.56,RU,1613180515
Castro,-24.7911,-50.0119,61.25,94,37,3.04,BR,1613180516
Hobart,-42.8794,147.3294,70.0,59,75,11.5,AU,1613180418
Bluff,-46.6,168.3333,60.91,55,91,2.35,NZ,1613180495
Busselton,-33.65,115.3333,74.66,50,0,4.32,AU,1613180516
Rikitea,-23.1203,-134.9692,80.46,71,7,10.07,PF,1613180491
Ciudad de Allende,25.2833,-100.0167,46.4,87,90,4.61,MX,1613180517
Yellowknife,62.456,-114.3525,-14.01,76,20,3.44,CA,1613180517
Vaini,-21.2,-175.2,86.0,74,75,6.91,TO,1613180519
Jamestown,42.097,-79.2353,15.8,73,75,5.75,US,1613180521
Rome,43.2128,-75.4557,6.01,61,1,1.68,US,1613180522
Mataura,-46.1927,168.8643,75.34,32,6,3.22,NZ,1613180522
Yar-Sale,66.8333,70.8333,-18.67,88,100,2.57,RU,1613180522
Faya,18.3851,42.4509,55.4,76,0,2.06,SA,1613180487
Punta Arenas,-53.15,-70.9167,55.4,54,90,11.5,CL,1613180501
East London,-33.0153,27.9116,75.52,81,12,9.33,ZA,1613180523
San Patricio,28.017,-97.5169,37.4,87,90,17.27,US,1613180524
Nuuk,64.1835,-51.7216,17.6,86,75,12.66,GL,1613180524
Narsaq,60.9167,-46.05,44.6,29,90,29.93,GL,1613180525
Plymouth,41.8334,-70.8328,27.0,58,90,2.75,US,1613180525
San Quintín,30.4833,-115.95,57.18,71,4,19.35,MX,1613180526
Khorixas,-20.3667,14.9667,64.6,88,100,8.75,NA,1613180526
Hermanus,-34.4187,19.2345,72.0,77,1,4.0,ZA,1613180284
Rocha,-34.4833,-54.3333,68.32,95,100,6.71,UY,1613180528
Hilo,19.7297,-155.09,82.4,51,20,5.75,US,1613180528
Kichmengskiy Gorodok,59.9816,45.7854,-3.87,90,100,8.95,RU,1613180528
Tuatapere,-46.1333,167.6833,70.07,40,73,0.69,NZ,1613180529
Hong Kong,22.2855,114.1577,66.0,81,32,10.27,HK,1613180286
Cape Town,-33.9258,18.4232,69.01,88,0,9.22,ZA,1613180352
Saint-Philippe,-21.3585,55.7679,80.6,65,20,16.11,RE,1613180528
Bambous Virieux,-20.3428,57.7575,78.8,83,40,10.36,MU,1613180515
Albany,42.6001,-73.9662,12.99,49,90,3.06,US,1613180422
Sandnessjøen,66.0217,12.6316,37.4,75,75,12.66,NO,1613180532
Barrow,71.2906,-156.7887,-9.4,70,75,8.05,US,1613180532
Kapaa,22.0752,-159.319,77.0,57,1,8.05,US,1613180532
Port Alfred,-33.5906,26.891,75.0,94,74,5.01,ZA,1613180533
Cidreira,-30.1811,-50.2056,75.22,80,100,15.03,BR,1613180513
Irtyshskiy,58.3333,68.1333,-5.93,90,100,9.69,RU,1613180537
Sitka,57.0531,-135.33,39.2,24,20,20.71,US,1613180538
Wanning,18.8003,110.3967,68.5,65,12,4.65,CN,1613180538
Iqaluit,63.7506,-68.5145,-7.6,71,20,2.3,CA,1613180539
Faanui,-16.4833,-151.75,81.9,74,24,11.77,PF,1613180539
Northam,51.0333,-4.2167,36.0,77,100,11.01,GB,1613180540
Ushuaia,-54.8,-68.3,57.2,51,75,9.22,AR,1613180359
Erenhot,43.6475,111.9767,11.68,88,4,4.34,CN,1613180540
Tianpeng,30.9866,103.9393,63.0,1,99,5.66,CN,1613180541
Katsuura,35.1333,140.3,55.0,57,40,5.75,JP,1613180542
Qaanaaq,77.484,-69.3632,-1.64,71,0,5.64,GL,1613180494
Carnarvon,-24.8667,113.6333,84.2,84,40,8.05,AU,1613180543
The Valley,18.217,-63.0578,77.0,78,20,10.36,AI,1613180543
Ejby,55.4858,12.0817,21.2,85,0,2.3,DK,1613180543
Atuona,-9.8,-139.0333,78.93,79,1,15.77,PF,1613180544
Kilimatinde,-5.85,34.95,63.66,95,100,1.43,TZ,1613180544
Te Anau,-45.4167,167.7167,68.61,38,82,6.58,NZ,1613180415
Deputatsky,69.3,139.9,-16.31,90,100,3.11,RU,1613180545
Pilar,-9.5972,-35.9567,75.2,94,40,3.44,BR,1613180546
Saint Paul Harbor,57.79,-152.4072,35.6,75,75,12.66,US,1613180501
Labuhan,-6.8844,112.2051,81.84,79,100,8.81,ID,1613180546
Butaritari,3.0707,172.7902,81.34,83,0,12.75,KI,1613180548
Barra,-11.0894,-43.1417,77.59,62,72,6.89,BR,1613180549
Port Elizabeth,-33.918,25.5701,75.2,94,75,14.97,ZA,1613180550
Walvis Bay,-22.9575,14.5053,69.01,83,31,10.36,NA,1613180551
Tinskoy,56.1525,96.9161,-11.56,87,97,3.58,RU,1613180552
Port Hedland,-20.3167,118.5667,86.0,62,90,6.91,AU,1613180553
Zhengjiatun,43.5064,123.5064,28.63,94,100,4.43,CN,1613180553
Bud,39.447,-86.1758,24.01,76,94,9.26,US,1613180553
Nikolskoye,59.7035,30.7861,1.99,77,75,6.71,RU,1613180553
Vila,42.0304,-8.1588,44.01,94,100,5.99,PT,1613180554
Pisco,-13.7,-76.2167,73.4,78,0,16.11,PE,1613180555
Souillac,-20.5167,57.5167,78.8,83,40,10.36,MU,1613180556
Half Moon Bay,37.4636,-122.4286,55.4,87,90,8.05,US,1613180390
Liberal,37.0431,-100.921,8.6,78,90,11.5,US,1613180411
Nānākuli,21.3906,-158.1547,80.6,54,1,9.22,US,1613180557
Nadym,65.5333,72.5167,-21.42,87,99,2.48,RU,1613180520
Berlevåg,70.8578,29.0864,16.75,93,45,10.36,NO,1613180504
Mahébourg,-20.4081,57.7,78.8,83,40,10.36,MU,1613180448
Avarua,-21.2078,-159.775,82.4,69,75,6.91,CK,1613180560
Palmer,42.1584,-72.3287,21.99,49,90,2.1,US,1613180561
Shelburne,44.0787,-80.2041,8.6,72,90,2.3,CA,1613180563
Chokurdakh,70.6333,147.9167,-21.3,72,0,3.67,RU,1613180563
Ilulissat,69.2167,-51.1,6.8,78,75,1.14,GL,1613180563
Kruisfontein,-34.0033,24.7314,73.99,91,100,1.01,ZA,1613180299
Dikson,73.5069,80.5464,-25.8,87,100,11.59,RU,1613180565
Villa Bruzual,9.3328,-69.1208,80.15,56,44,7.05,VE,1613180565
Hamilton,39.1834,-84.5333,27.0,68,90,10.36,US,1613180565
Garoowe,8.4054,48.4845,59.29,82,13,6.22,SO,1613180565
Quatre Cocos,-20.2078,57.7625,78.8,83,40,10.36,MU,1613180566
Puerto Ayora,-0.7393,-90.3518,75.99,96,89,1.01,EC,1613180566
Pavlodar,52.3,76.95,-7.6,71,0,8.95,KZ,1613180466
Puerto Ayacucho,5.6639,-67.6236,81.54,61,98,4.5,VE,1613180567
Waingapu,-9.6567,120.2641,84.45,69,27,5.46,ID,1613180568
Hilpoltstein,49.19,11.1886,12.2,79,0,4.61,DE,1613180568
Upernavik,72.7868,-56.1549,-2.67,81,0,7.78,GL,1613180568
Morant Bay,17.8815,-76.4093,80.6,61,20,20.71,JM,1613180570
Yanam,16.7333,82.2167,68.0,88,18,4.61,IN,1613180570
Ocho Rios,18.4025,-77.1048,72.0,89,7,10.85,JM,1613180570
Wu’an,31.6836,112.0044,60.94,65,99,7.0,CN,1613180571
